Student,Date,Day,Hour,Traffic_Level,Predicted_FreeSpot_%
Student 1,2025-06-23,Monday,15:30,Low,82.41
Student 2,2025-08-30,Saturday,12:45,Low,85.71
Student 3,2025-08-21,Thursday,17:15,Low,81.3
Student 4,2025-04-19,Saturday,12:15,Low,87.31
Student 5,2025-09-22,Monday,8:45,Low,94.8
Student 6,2025-10-29,Wednesday,11:30,Medium,69.27
Student 7,2025-10-25,Saturday,13:45,Low,83.33
Student 8,2025-06-11,Wednesday,16:30,Low,79.17
Student 9,2025-09-20,Saturday,11:00,Low,77.56
Student 10,2025-01-17,Friday,11:00,Low,92.21
Student 11,2025-09-23,Tuesday,12:00,Low,99.18
Student 12,2025-08-07,Thursday,10:15,Low,93.4
Student 13,2025-08-18,Monday,17:15,Low,91.05
Student 14,2025-12-07,Sunday,17:00,Low,78.39
Student 15,2025-02-05,Wednesday,18:15,Low,86.21
Student 16,2025-08-02,Saturday,13:45,Low,91.44
Student 17,2025-07-02,Wednesday,13:15,Low,88.15
Student 18,2025-10-16,Thursday,11:30,Medium,40.44
Student 19,2025-04-09,Wednesday,17:30,Low,71.03
Student 20,2025-04-23,Wednesday,14:15,Low,99.55
Student 21,2025-01-09,Thursday,15:00,Low,76.81
Student 22,2025-05-01,Thursday,17:15,Low,75.8
Student 23,2025-08-02,Saturday,9:45,Low,83.78
Student 24,2025-12-06,Saturday,12:00,Low,90.01
Student 25,2025-11-02,Sunday,18:30,Low,75.12
Student 26,2025-03-14,Friday,12:30,Low,82.52
Student 27,2025-06-14,Saturday,16:00,Low,76.95
Student 28,2025-04-03,Thursday,11:30,Medium,66.78
Student 29,2025-01-23,Thursday,11:30,Low,91.01
Student 30,2025-05-27,Tuesday,16:00,Low,81.41
Student 31,2025-08-29,Friday,11:15,Low,74.52
Student 32,2025-10-03,Friday,12:15,Low,75.52
Student 33,2025-07-07,Monday,8:30,Low,83.31
Student 34,2025-11-01,Saturday,16:30,Low,70.87
Student 35,2025-05-17,Saturday,11:15,Low,97.59
Student 36,2025-07-21,Monday,12:00,Low,77.42
Student 37,2025-08-19,Tuesday,10:30,Low,83.6
Student 38,2025-12-14,Sunday,12:15,High,14.04
Student 39,2025-12-16,Tuesday,13:15,Low,78.34
Student 40,2025-06-30,Monday,17:00,Low,72.04
Student 41,2025-07-07,Monday,11:45,Low,91.04
Student 42,2025-10-03,Friday,12:45,Low,72.31
Student 43,2025-03-16,Sunday,10:45,Medium,64.16
Student 44,2025-05-07,Wednesday,16:45,Low,93.79
Student 45,2025-03-04,Tuesday,11:45,Medium,67.29
Student 46,2025-01-20,Monday,8:45,Low,77.64
Student 47,2025-11-11,Tuesday,8:30,High,16.12
Student 48,2025-12-10,Wednesday,14:45,Low,94.18
Student 49,2025-01-29,Wednesday,10:30,Low,99.86
Student 50,2025-08-15,Friday,9:30,Low,72.39
Student 51,2025-08-17,Sunday,14:15,Low,84.39
Student 52,2025-06-17,Tuesday,16:00,Low,74.68
Student 53,2025-03-28,Friday,16:00,Low,71.7
Student 54,2025-09-22,Monday,11:30,Low,86.24
Student 55,2025-05-08,Thursday,15:30,Low,86.18
Student 56,2025-05-09,Friday,14:15,Low,88.95
Student 57,2025-05-31,Saturday,11:45,Low,90.68
Student 58,2025-10-08,Wednesday,10:00,Medium,41.02
Student 59,2025-04-20,Sunday,16:45,Low,89.16
Student 60,2025-03-22,Saturday,13:30,Low,88.85
Student 61,2025-08-05,Tuesday,10:30,Low,73.89
Student 62,2025-09-30,Tuesday,18:00,Low,76.11
Student 63,2025-09-12,Friday,15:15,Low,94.37
Student 64,2025-01-17,Friday,15:30,Low,99.11
Student 65,2025-07-18,Friday,10:45,Low,95.36
Student 66,2025-08-26,Tuesday,16:15,Low,95.14
Student 67,2025-01-09,Thursday,18:45,Low,70.31
Student 68,2025-04-05,Saturday,10:45,Low,80.57
Student 69,2025-02-26,Wednesday,12:30,Low,87.51
Student 70,2025-09-29,Monday,15:30,Low,87.06
Student 71,2025-07-28,Monday,11:00,Low,93.33
Student 72,2025-07-28,Monday,12:00,Low,82.65
Student 73,2025-09-04,Thursday,16:15,Low,91.24
Student 74,2025-07-28,Monday,13:30,Low,86.81
Student 75,2025-06-15,Sunday,15:00,Low,97.98
Student 76,2025-06-15,Sunday,8:45,High,16.23
Student 77,2025-10-29,Wednesday,18:00,Low,99.72
Student 78,2025-08-31,Sunday,11:15,Low,76.13
Student 79,2025-07-01,Tuesday,14:45,Low,97.45
Student 80,2025-05-14,Wednesday,18:45,Low,88.75
Student 81,2025-03-25,Tuesday,14:15,Medium,49.66
Student 82,2025-10-24,Friday,13:00,Low,83.63
Student 83,2025-08-12,Tuesday,18:45,Low,90.67
Student 84,2025-07-25,Friday,13:30,Low,74.97
Student 85,2025-06-28,Saturday,14:30,Low,80.2
Student 86,2025-11-29,Saturday,16:30,Low,95.85
Student 87,2025-07-05,Saturday,8:30,Low,88.36
Student 88,2025-11-22,Saturday,12:00,Low,90.77
Student 89,2025-05-22,Thursday,8:00,Low,78.19
Student 90,2025-02-17,Monday,17:00,Low,72.99
Student 91,2025-11-16,Sunday,8:30,High,32.36
